date,cases,deaths,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential
2020-02-25,0.0,0,-31.0,-29.0,51.0,-35.0,-61.0,10.0
2020-02-26,1.0,0,-18.0,-11.0,-8.0,-17.0,-18.0,6.0
2020-02-27,1.0,0,-8.0,2.0,-11.0,1.0,10.0,1.0
2020-02-28,1.0,0,-5.0,3.0,-17.0,2.0,13.0,1.0
2020-02-29,2.0,0,-3.0,5.0,-23.0,-2.0,5.0,3.0
2020-03-01,2.0,0,-9.0,3.0,-34.0,-10.0,-1.0,5.0
2020-03-02,2.0,0,-6.0,1.0,-25.0,6.0,20.0,0.0
2020-03-03,2.0,0,-5.0,2.0,-21.0,6.0,15.0,-1.0
2020-03-04,3.0,0,-1.0,2.0,-11.0,7.0,16.0,-1.0
2020-03-05,7.0,0,0.0,7.0,-5.0,10.0,18.0,-2.0
2020-03-06,13.0,0,6.0,11.0,-7.0,13.0,18.0,-2.0
2020-03-07,19.0,0,9.0,13.0,-14.0,8.0,7.0,0.0
2020-03-08,25.0,0,8.0,11.0,-17.0,2.0,3.0,1.0
2020-03-09,25.0,0,1.0,5.0,-12.0,12.0,21.0,-2.0
2020-03-10,34.0,0,0.0,5.0,-11.0,11.0,17.0,-2.0
2020-03-11,52.0,0,1.0,2.0,-6.0,10.0,17.0,-1.0
2020-03-12,77.0,0,-2.0,4.0,-5.0,10.0,17.0,-2.0
2020-03-13,98.0,0,0.0,7.0,-8.0,10.0,18.0,-2.0
2020-03-14,121.0,0,-2.0,7.0,-15.0,0.0,6.0,1.0
2020-03-15,200.0,0,-8.0,7.0,-21.0,-7.0,0.0,3.0
2020-03-16,234.0,0,-11.0,6.0,-23.0,-4.0,14.0,1.0
2020-03-17,291.0,1,-19.0,7.0,-28.0,-15.0,3.0,4.0
2020-03-18,428.0,4,-25.0,5.0,-28.0,-22.0,-6.0,7.0
2020-03-19,621.0,6,-36.0,2.0,-34.0,-31.0,-17.0,10.0
2020-03-20,904.0,11,-45.0,0.0,-45.0,-37.0,-21.0,13.0
2020-03-21,1128.0,18,-63.0,-16.0,-66.0,-50.0,-30.0,16.0
2020-03-22,1546.0,25,-72.0,-33.0,-75.0,-60.0,-34.0,17.0
2020-03-23,1891.0,34,-65.0,-26.0,-61.0,-58.0,-42.0,20.0
2020-03-24,2201.0,46,-71.0,-33.0,-62.0,-63.0,-51.0,22.0
2020-03-25,2433.0,57,-69.0,-32.0,-57.0,-63.0,-52.0,23.0
2020-03-26,2915.0,77,-69.0,-29.0,-54.0,-62.0,-50.0,22.0
2020-03-27,3417.0,92,-67.0,-26.0,-56.0,-60.0,-48.0,23.0
2020-03-28,3903.0,114,-70.0,-27.0,-64.0,-59.0,-41.0,19.0
2020-03-29,4256.0,136,-71.0,-35.0,-70.0,-62.0,-34.0,17.0
2020-03-30,4579.0,159,-62.0,-26.0,-55.0,-59.0,-43.0,20.0
2020-03-31,5717.0,201,-60.0,-21.0,-53.0,-58.0,-45.0,19.0
2020-04-01,6834.0,241,-58.0,-19.0,-48.0,-57.0,-45.0,20.0
2020-04-02,7910.0,299,-59.0,-17.0,-48.0,-57.0,-45.0,20.0
2020-04-03,9056.0,359,-60.0,-14.0,-52.0,-55.0,-42.0,20.0
2020-04-04,10278.0,432,-63.0,-13.0,-60.0,-53.0,-35.0,16.0
2020-04-05,11130.0,486,-67.0,-24.0,-66.0,-57.0,-30.0,15.0
2020-04-06,12056.0,553,-56.0,-14.0,-53.0,-53.0,-38.0,18.0
2020-04-07,13717.0,667,-53.0,-8.0,-50.0,-53.0,-40.0,17.0
2020-04-08,15927.0,800,-52.0,-7.0,-46.0,-52.0,-40.0,18.0
2020-04-09,17857.0,941,-49.0,11.0,-40.0,-49.0,-41.0,16.0
2020-04-10,19638.0,1056,-76.0,-38.0,-58.0,-69.0,-72.0,27.0
2020-04-11,20727.0,1124,-59.0,-5.0,-59.0,-52.0,-36.0,16.0
2020-04-12,22169.0,1223,-67.0,-25.0,-67.0,-55.0,-26.0,13.0
2020-04-13,23430.0,1328,-54.0,-19.0,-52.0,-53.0,-35.0,17.0
2020-04-14,25262.0,1532,-56.0,-20.0,-54.0,-55.0,-39.0,18.0
2020-04-15,28320.0,1736,-54.0,-17.0,-47.0,-53.0,-38.0,18.0
2020-04-16,30425.0,1924,-56.0,-14.0,-46.0,-53.0,-38.0,18.0
2020-04-17,33682.0,2141,-55.0,-11.0,-50.0,-51.0,-36.0,19.0
2020-04-18,36599.0,2347,-61.0,-15.0,-59.0,-50.0,-28.0,15.0
2020-04-19,38654.0,2462,-67.0,-23.0,-64.0,-56.0,-25.0,14.0
2020-04-20,40581.0,2575,-53.0,-11.0,-47.0,-53.0,-39.0,17.0
2020-04-21,43079.0,2741,-71.0,-37.0,-51.0,-68.0,-67.0,23.0
2020-04-22,45757.0,2906,-53.0,-15.0,-45.0,-51.0,-34.0,17.0
2020-04-23,49492.0,3313,-56.0,-17.0,-44.0,-54.0,-36.0,18.0
