,Unnamed: 0,Unnamed: 0.1,epi_week,date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,recovered,suspects,tests,tests_per_100k_inhabitants,vaccinated,vaccinated_per_100k_inhabitants,vaccinated_second,vaccinated_second_per_100k_inhabitants,day
0,0,1,9,2020-02-25,Brazil,TOTAL,TOTAL,0,0,1,1,0,0,0.0,0.00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,1,3,9,2020-02-26,Brazil,TOTAL,TOTAL,0,0,0,1,0,1,0.0,0.00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2,2,5,9,2020-02-27,Brazil,TOTAL,TOTAL,0,0,0,1,0,1,0.0,0.00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3,3,7,9,2020-02-28,Brazil,TOTAL,TOTAL,0,0,1,2,0,1,0.0,0.00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
4,4,9,9,2020-02-29,Brazil,TOTAL,TOTAL,0,0,0,2,0,2,0.0,0.00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5,5,11,10,2020-03-01,Brazil,TOTAL,TOTAL,0,0,0,2,0,2,0.0,0.00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
6,6,13,10,2020-03-02,Brazil,TOTAL,TOTAL,0,0,0,2,0,2,0.0,0.00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
7,7,15,10,2020-03-03,Brazil,TOTAL,TOTAL,0,0,0,2,0,2,0.0,0.00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
8,8,17,10,2020-03-04,Brazil,TOTAL,TOTAL,0,0,1,3,0,3,0.0,0.00142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
9,9,20,10,2020-03-05,Brazil,TOTAL,TOTAL,0,0,4,7,0,7,0.0,0.00331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
10,10,25,10,2020-03-06,Brazil,TOTAL,TOTAL,0,0,7,14,0,13,0.0,0.00661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11,11,31,10,2020-03-07,Brazil,TOTAL,TOTAL,0,0,5,19,0,19,0.0,0.00897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
12,12,39,11,2020-03-08,Brazil,TOTAL,TOTAL,0,0,6,25,0,25,0.0,0.01181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
13,13,47,11,2020-03-09,Brazil,TOTAL,TOTAL,0,0,0,25,0,25,0.0,0.01181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
14,14,56,11,2020-03-10,Brazil,TOTAL,TOTAL,0,0,9,34,0,34,0.0,0.01606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
15,15,65,11,2020-03-11,Brazil,TOTAL,TOTAL,0,0,19,53,0,52,0.0,0.02503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
16,16,79,11,2020-03-12,Brazil,TOTAL,TOTAL,0,0,36,89,0,77,0.0,0.04203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
17,17,94,11,2020-03-13,Brazil,TOTAL,TOTAL,0,0,17,106,0,98,0.0,0.05006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
18,18,111,11,2020-03-14,Brazil,TOTAL,TOTAL,0,0,36,142,0,121,0.0,0.06706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
19,19,128,12,2020-03-15,Brazil,TOTAL,TOTAL,0,0,83,225,0,200,0.0,0.10625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
20,20,146,12,2020-03-16,Brazil,TOTAL,TOTAL,0,0,54,279,0,234,0.0,0.13176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
21,21,165,12,2020-03-17,Brazil,TOTAL,TOTAL,1,1,54,333,1,291,0.00047,0.15726,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
22,22,187,12,2020-03-18,Brazil,TOTAL,TOTAL,3,4,181,514,4,428,0.00189,0.24273,0.00778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
23,23,210,12,2020-03-19,Brazil,TOTAL,TOTAL,3,7,129,643,6,621,0.00331,0.30365,0.01089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
24,24,237,12,2020-03-20,Brazil,TOTAL,TOTAL,4,11,331,974,11,904,0.00519,0.45996,0.01129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
25,25,265,12,2020-03-21,Brazil,TOTAL,TOTAL,7,18,224,1198,18,1128,0.0085,0.56575,0.01503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
26,26,293,13,2020-03-22,Brazil,TOTAL,TOTAL,7,25,396,1594,25,1546,0.01181,0.75275,0.01568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
27,27,321,13,2020-03-23,Brazil,TOTAL,TOTAL,9,34,358,1952,34,1891,0.01606,0.92182,0.01742,8.0,15867.0,0.0,0.0,0.0,0.0,0.0,0.0,27
28,28,349,13,2020-03-24,Brazil,TOTAL,TOTAL,13,47,303,2255,46,2201,0.0222,1.06491,0.02084,20.0,17700.0,0.0,0.0,0.0,0.0,0.0,0.0,28
29,29,377,13,2020-03-25,Brazil,TOTAL,TOTAL,12,59,311,2566,57,2433,0.02786,1.21177,0.02299,27.0,27227.0,0.0,0.0,0.0,0.0,0.0,0.0,29
30,30,405,13,2020-03-26,Brazil,TOTAL,TOTAL,18,77,424,2990,77,2915,0.03636,1.412,0.02575,42.0,48793.0,0.0,0.0,0.0,0.0,0.0,0.0,30
31,31,433,13,2020-03-27,Brazil,TOTAL,TOTAL,16,93,486,3476,92,3417,0.04392,1.64151,0.02675,42.0,50684.0,0.0,0.0,0.0,0.0,0.0,0.0,31
32,32,461,13,2020-03-28,Brazil,TOTAL,TOTAL,22,115,479,3955,114,3903,0.05431,1.86772,0.02908,56.0,52037.0,0.0,0.0,0.0,0.0,0.0,0.0,32
33,33,489,14,2020-03-29,Brazil,TOTAL,TOTAL,24,139,360,4315,136,4256,0.06564,2.03773,0.03221,56.0,57847.0,0.0,0.0,0.0,0.0,0.0,0.0,33
34,34,517,14,2020-03-30,Brazil,TOTAL,TOTAL,27,166,348,4663,159,4579,0.07839,2.20207,0.0356,66.0,56944.0,0.0,0.0,0.0,0.0,0.0,0.0,34
35,35,545,14,2020-03-31,Brazil,TOTAL,TOTAL,36,202,1161,5824,201,5717,0.09539,2.75034,0.03468,66.0,63722.0,0.0,0.0,0.0,0.0,0.0,0.0,35
36,36,573,14,2020-04-01,Brazil,TOTAL,TOTAL,42,244,1107,6931,240,6836,0.11523,3.27311,0.0352,78.0,63318.0,0.0,0.0,0.0,0.0,0.0,0.0,36
37,37,601,14,2020-04-02,Brazil,TOTAL,TOTAL,61,305,1169,8100,299,7910,0.14403,3.82516,0.03765,78.0,68761.0,0.0,0.0,0.0,0.0,0.0,0.0,37
38,38,629,14,2020-04-03,Brazil,TOTAL,TOTAL,60,365,1112,9212,359,9056,0.17237,4.3503,0.03962,78.0,71190.0,0.0,0.0,0.0,0.0,0.0,0.0,38
39,39,657,14,2020-04-04,Brazil,TOTAL,TOTAL,80,445,1169,10381,432,10278,0.21015,4.90235,0.04287,78.0,74380.0,0.0,0.0,0.0,0.0,0.0,0.0,39
40,40,685,15,2020-04-05,Brazil,TOTAL,TOTAL,52,497,1043,11424,486,11130,0.2347,5.3949,0.0435,104.0,71484.0,0.0,0.0,0.0,0.0,0.0,0.0,40
41,41,713,15,2020-04-06,Brazil,TOTAL,TOTAL,73,570,838,12262,553,12056,0.26918,5.79064,0.04649,355.0,72068.0,0.0,0.0,0.0,0.0,0.0,0.0,41
42,42,741,15,2020-04-07,Brazil,TOTAL,TOTAL,121,691,1821,14083,667,13717,0.32632,6.65059,0.04907,575.0,86338.0,0.0,0.0,0.0,0.0,0.0,0.0,42
43,43,769,15,2020-04-08,Brazil,TOTAL,TOTAL,135,826,2175,16258,800,15927,0.39007,7.67772,0.05081,796.0,88917.0,0.0,0.0,0.0,0.0,0.0,0.0,43
44,44,797,15,2020-04-09,Brazil,TOTAL,TOTAL,133,959,1937,18195,941,17857,0.45288,8.59245,0.05271,845.0,95157.0,0.0,0.0,0.0,0.0,0.0,0.0,44
45,45,825,15,2020-04-10,Brazil,TOTAL,TOTAL,114,1073,1742,19937,1056,19638,0.50672,9.4151,0.05382,999.0,110830.0,0.0,0.0,0.0,0.0,0.0,0.0,45
46,46,853,15,2020-04-11,Brazil,TOTAL,TOTAL,68,1141,1055,20992,1124,20727,0.53883,9.91331,0.05435,1016.0,110424.0,0.0,0.0,0.0,0.0,0.0,0.0,46
47,47,881,16,2020-04-12,Brazil,TOTAL,TOTAL,96,1237,1464,22456,1223,22169,0.58416,10.60467,0.05509,1080.0,113544.0,0.0,0.0,0.0,0.0,0.0,0.0,47
48,48,909,16,2020-04-13,Brazil,TOTAL,TOTAL,120,1357,1412,23868,1328,23430,0.64083,11.27148,0.05685,2977.0,116272.0,0.0,0.0,0.0,0.0,0.0,0.0,48
49,49,937,16,2020-04-14,Brazil,TOTAL,TOTAL,200,1557,1909,25777,1532,25262,0.73528,12.17299,0.0604,3152.0,119713.0,0.0,0.0,0.0,0.0,0.0,0.0,49
50,50,965,16,2020-04-15,Brazil,TOTAL,TOTAL,203,1760,3242,29019,1736,28320,0.83115,13.704,0.06065,4273.0,121860.0,0.0,0.0,0.0,0.0,0.0,0.0,50
51,51,993,16,2020-04-16,Brazil,TOTAL,TOTAL,202,1962,2082,31101,1924,30425,0.92654,14.68721,0.06308,4471.0,125406.0,0.0,0.0,0.0,0.0,0.0,0.0,51
52,52,1021,16,2020-04-17,Brazil,TOTAL,TOTAL,211,2173,3296,34397,2141,33682,1.02618,16.24372,0.06317,5032.0,135014.0,0.0,0.0,0.0,0.0,0.0,0.0,52
53,53,1049,16,2020-04-18,Brazil,TOTAL,TOTAL,202,2375,2778,37175,2347,36599,1.12158,17.55561,0.06389,5157.0,138587.0,0.0,0.0,0.0,0.0,0.0,0.0,53
54,54,1077,17,2020-04-19,Brazil,TOTAL,TOTAL,116,2491,2022,39197,2462,38654,1.17636,18.51048,0.06355,5618.0,143462.0,0.0,0.0,0.0,0.0,0.0,0.0,54
55,55,1105,17,2020-04-20,Brazil,TOTAL,TOTAL,107,2598,1740,40937,2575,40581,1.22689,19.33218,0.06346,6722.0,145827.0,0.0,0.0,0.0,0.0,0.0,0.0,55
56,56,1133,17,2020-04-21,Brazil,TOTAL,TOTAL,174,2772,2742,43679,2741,43079,1.30906,20.62707,0.06346,7407.0,155648.0,0.0,0.0,0.0,0.0,0.0,0.0,56
57,57,1161,17,2020-04-22,Brazil,TOTAL,TOTAL,169,2941,2744,46423,2906,45757,1.38886,21.92291,0.06335,8594.0,155949.0,0.0,0.0,0.0,0.0,0.0,0.0,57
58,58,1189,17,2020-04-23,Brazil,TOTAL,TOTAL,408,3349,3875,50298,3313,49492,1.58154,23.75284,0.06658,9160.0,157733.0,0.0,0.0,0.0,0.0,0.0,0.0,58
59,59,1217,17,2020-04-24,Brazil,TOTAL,TOTAL,373,3722,3911,54209,3670,52995,1.75769,25.59978,0.06866,10456.0,158205.0,0.0,0.0,0.0,0.0,0.0,0.0,59
60,60,1245,17,2020-04-25,Brazil,TOTAL,TOTAL,352,4074,5298,59507,4016,58509,1.92392,28.10172,0.06846,11760.0,171445.0,0.0,0.0,0.0,0.0,0.0,0.0,60
61,61,1273,18,2020-04-26,Brazil,TOTAL,TOTAL,227,4301,3715,63222,4205,61888,2.03111,29.8561,0.06803,12514.0,175562.0,179698.0,84.861,0.0,0.0,0.0,0.0,61
62,62,1301,18,2020-04-27,Brazil,TOTAL,TOTAL,305,4606,4145,67367,4543,66501,2.17515,31.81355,0.06837,13850.0,181843.0,187145.0,88.37779,0.0,0.0,0.0,0.0,62
63,63,1329,18,2020-04-28,Brazil,TOTAL,TOTAL,488,5094,6233,73600,5017,71886,2.4056,34.75704,0.06921,15309.0,186149.0,189730.0,89.59854,0.0,0.0,0.0,0.0,63
64,64,1357,18,2020-04-29,Brazil,TOTAL,TOTAL,443,5537,6199,79799,5466,78162,2.61481,37.68447,0.06939,16206.0,191145.0,194407.0,91.80721,0.0,0.0,0.0,0.0,64
65,65,1385,18,2020-04-30,Brazil,TOTAL,TOTAL,443,5980,7327,87126,5901,85380,2.82401,41.14458,0.06864,18241.0,213376.0,237903.0,112.34787,0.0,0.0,0.0,0.0,65
66,66,1413,18,2020-05-01,Brazil,TOTAL,TOTAL,459,6439,5539,92665,6329,91589,3.04077,43.76033,0.06949,19557.0,222113.0,237903.0,112.34787,0.0,0.0,0.0,0.0,66
67,67,1441,18,2020-05-02,Brazil,TOTAL,TOTAL,371,6810,4915,97580,6750,96559,3.21597,46.08141,0.06979,20680.0,223314.0,237903.0,112.34787,0.0,0.0,0.0,0.0,67
68,68,1469,19,2020-05-03,Brazil,TOTAL,TOTAL,267,7077,4443,102023,7025,101147,3.34206,48.17958,0.06937,21619.0,229194.0,249063.0,117.61809,0.0,0.0,0.0,0.0,68
69,69,1497,19,2020-05-04,Brazil,TOTAL,TOTAL,304,7381,6982,109005,7321,107780,3.48562,51.47677,0.06771,22599.0,227358.0,249331.0,117.74465,0.0,0.0,0.0,0.0,69
70,70,1525,19,2020-05-05,Brazil,TOTAL,TOTAL,591,7972,7408,116413,7921,114715,3.76472,54.97515,0.06848,24721.0,228424.0,249331.0,117.74465,0.0,0.0,0.0,0.0,70
71,71,1553,19,2020-05-06,Brazil,TOTAL,TOTAL,625,8597,10544,126957,8536,125218,4.05987,59.95447,0.06772,29175.0,243997.0,298044.0,140.74899,0.0,0.0,0.0,0.0,71
72,72,1581,19,2020-05-07,Brazil,TOTAL,TOTAL,676,9273,9732,136689,9146,135106,4.3791,64.55033,0.06784,34745.0,255669.0,299605.0,141.48616,0.0,0.0,0.0,0.0,72
73,73,1609,19,2020-05-08,Brazil,TOTAL,TOTAL,754,10027,10407,147096,9897,145328,4.73517,69.46496,0.06817,36382.0,262746.0,299605.0,141.48616,0.0,0.0,0.0,0.0,73
74,74,1637,19,2020-05-09,Brazil,TOTAL,TOTAL,670,10697,10155,157251,10627,155939,5.05158,74.26058,0.06803,39664.0,271141.0,299605.0,141.48616,0.0,0.0,0.0,0.0,74
75,75,1665,20,2020-05-10,Brazil,TOTAL,TOTAL,478,11175,6259,163510,11123,162699,5.27731,77.21634,0.06834,48361.0,275292.0,359273.0,169.66392,0.0,0.0,0.0,0.0,75
76,76,1693,20,2020-05-11,Brazil,TOTAL,TOTAL,485,11660,6223,169733,11519,168331,5.50635,80.15511,0.0687,51415.0,279331.0,359273.0,169.66392,0.0,0.0,0.0,0.0,76
77,77,1721,20,2020-05-12,Brazil,TOTAL,TOTAL,843,12503,9613,179346,12400,177589,5.90445,84.69477,0.06971,56348.0,284334.0,359273.0,169.66392,0.0,0.0,0.0,0.0,77
78,78,1749,20,2020-05-13,Brazil,TOTAL,TOTAL,778,13281,11694,191040,13149,188974,6.27185,90.21717,0.06952,62543.0,285932.0,359273.0,169.66392,0.0,0.0,0.0,0.0,78
79,79,1777,20,2020-05-14,Brazil,TOTAL,TOTAL,789,14070,14133,205173,13993,202918,6.64445,96.89137,0.06858,69313.0,304977.0,430405.0,203.25546,0.0,0.0,0.0,0.0,79
80,80,1805,20,2020-05-15,Brazil,TOTAL,TOTAL,913,14983,15460,220633,14817,218223,7.07561,104.19224,0.06791,73615.0,313257.0,466209.0,220.16362,0.0,0.0,0.0,0.0,80
81,81,1833,20,2020-05-16,Brazil,TOTAL,TOTAL,719,15702,14048,234681,15633,233142,7.41515,110.8263,0.06691,79883.0,318637.0,466209.0,220.16362,0.0,0.0,0.0,0.0,81
82,82,1861,21,2020-05-17,Brazil,TOTAL,TOTAL,500,16202,7663,242344,16118,241080,7.65127,114.44509,0.06686,83525.0,318885.0,466209.0,220.16362,0.0,0.0,0.0,0.0,82
83,83,1889,21,2020-05-18,Brazil,TOTAL,TOTAL,723,16925,14559,256903,16792,254220,7.9927,121.32047,0.06588,94294.0,365724.0,583549.0,275.57654,0.0,0.0,0.0,0.0,83
84,84,1917,21,2020-05-19,Brazil,TOTAL,TOTAL,1149,18074,17489,274392,17971,271628,8.53531,129.57952,0.06587,102197.0,351458.0,583549.0,275.57654,0.0,0.0,0.0,0.0,84
85,85,1945,21,2020-05-20,Brazil,TOTAL,TOTAL,985,19059,20232,294624,18859,291579,9.00047,139.13392,0.06469,112074.0,362062.0,583549.0,275.57654,0.0,0.0,0.0,0.0,85
86,86,1973,21,2020-05-21,Brazil,TOTAL,TOTAL,1069,20128,18137,312761,20047,310087,9.50529,147.69898,0.06436,122013.0,363921.0,583549.0,275.57654,0.0,0.0,0.0,0.0,86
87,87,2001,21,2020-05-22,Brazil,TOTAL,TOTAL,1031,21159,21807,334568,21048,330890,9.99218,157.99717,0.06324,131078.0,384682.0,705048.0,332.95351,0.0,0.0,0.0,0.0,87
88,88,2029,21,2020-05-23,Brazil,TOTAL,TOTAL,1046,22205,16997,351565,22013,347398,10.48614,166.02387,0.06316,151300.0,391357.0,705289.0,333.06732,0.0,0.0,0.0,0.0,88
89,89,2057,22,2020-05-24,Brazil,TOTAL,TOTAL,658,22863,14468,366033,22666,363211,10.79688,172.85627,0.06246,163583.0,401334.0,705289.0,333.06732,0.0,0.0,0.0,0.0,89
90,90,2085,22,2020-05-25,Brazil,TOTAL,TOTAL,727,23590,12807,378840,23473,374898,11.1402,178.90428,0.06227,171023.0,401927.0,846669.0,399.83294,0.0,0.0,0.0,0.0,90
91,91,2113,22,2020-05-26,Brazil,TOTAL,TOTAL,1054,24644,16327,395167,24512,391222,11.63794,186.61458,0.06236,181069.0,402878.0,883885.0,417.40791,0.0,0.0,0.0,0.0,91
92,92,2141,22,2020-05-27,Brazil,TOTAL,TOTAL,1061,25705,20199,415366,25598,411821,12.13899,196.1534,0.06189,190847.0,427090.0,883885.0,417.40791,0.0,0.0,0.0,0.0,92
93,93,2169,22,2020-05-28,Brazil,TOTAL,TOTAL,1190,26895,28337,443703,26754,438238,12.70096,209.53534,0.06061,202757.0,431844.0,935748.0,441.89981,0.0,0.0,0.0,0.0,93
