date,pc1,pc2,holiday,deaths,r0
2020-02-26,-0.9656367754767301,1.6508115241385313,1,0,1.059128639956291
2020-02-27,-3.1645639928620066,0.2745224246794442,1,0,1.059128639956291
2020-02-28,-3.2313727913104886,-0.1475851474413443,1,0,1.7420331266925777
2020-02-29,-2.6894087328530554,-0.09486828713619119,1,0,1.571307005008506
2020-03-01,-1.6516984100802845,-0.4375603474468422,1,0,1.4688713319980629
2020-03-02,-3.3460474859495126,-0.8977717360590177,1,0,1.4005808833244344
2020-03-03,-3.460067929157449,-0.5180967152571471,1,0,1.3518019914146997
2020-03-04,-3.862005049439267,0.03199708597313398,1,0,1.400751221620241
2020-03-05,-4.382978682145588,0.23953448643126798,1,0,1.6070104232249225
2020-03-06,-4.679761029084587,0.1591041866397291,1,0,1.8002298415750366
2020-03-07,-4.037139225267352,0.2799959288872903,1,0,1.882047670182224
2020-03-08,-3.52769075409103,0.3135896152557602,1,0,1.8571549856324596
2020-03-09,-4.325341715212082,-0.2501335815023489,1,0,1.7957683436573697
2020-03-10,-4.192434642492416,-0.05295572250479304,1,0,2.09489218315008
2020-03-11,-4.144701012496913,0.27893261001265535,0,0,2.377372846369337
2020-03-12,-4.229408022388559,0.26802707822057176,0,0,2.391108100664094
2020-03-13,-4.311123065135688,0.07342292630814908,0,0,2.2740758842859194
2020-03-14,-3.225608057522341,0.2426711367781179,0,0,2.2914980395471183
2020-03-15,-2.384196664695783,0.1661261937309718,0,0,2.294986147313557
2020-03-16,-2.8569818979573913,-0.55913291785362,0,0,2.3069197954946765
2020-03-17,-1.6777184661036666,-0.3710731129111348,0,1,2.318842583306429
2020-03-18,-0.7608101762953658,0.03347030332601577,0,3,2.38277741353306
2020-03-19,0.5671124479521479,0.14422699223497107,0,3,2.369834747179251
2020-03-20,1.6744917616797015,-0.2759813404803632,0,4,2.248299132239973
2020-03-21,3.930596729229631,-1.0743790160536542,0,7,2.220559048253779
2020-03-22,5.279905672574672,-1.3804573270220486,0,7,2.262858404734257
2020-03-23,5.012041843380746,-0.18270023616226122,0,9,2.3329929545433337
2020-03-24,5.926259330446005,0.1441014195959374,0,13,2.0503018363499144
2020-03-25,5.8466551830761295,0.5045291458863342,0,12,1.8369853474334428
2020-03-26,5.529006652974162,0.5512777234653357,0,18,1.870465933143504
2020-03-27,5.436484763123545,0.39912871663855665,0,16,1.870235770370251
2020-03-28,5.153342978510665,-0.4563052522587752,0,22,1.8663455223056844
2020-03-29,5.236944981384053,-1.079746405382376,0,24,1.9209412303179925
2020-03-30,4.839401153419763,0.2180088279308013,0,27,1.974973656251541
2020-03-31,4.544017649794817,0.36829211776931725,0,36,1.965007795164125
2020-04-01,4.386864206471968,0.6846270582265432,0,42,1.8597121022345853
2020-04-02,4.365254555540322,0.6685388295871416,0,61,1.7401829119083618
2020-04-03,4.283344074359336,0.30939564622576216,0,60,1.6965387983905644
2020-04-04,3.9236627214834057,-0.5567438056132638,0,80,1.6479913174563074
2020-04-05,4.335063860101721,-1.088625352478479,0,52,1.6029142189105254
2020-04-06,3.8532036657558177,0.072831639109936,0,73,1.5484721943337998
2020-04-07,3.509654862782439,0.28822806921019356,0,121,1.4869517318042784
2020-04-08,3.428261228588474,0.5433349158032144,0,135,1.423005364588035
2020-04-09,2.517104369711755,0.8038153874022476,0,133,1.3806309798494123
2020-04-10,7.259267487925502,1.2906150484803283,1,114,1.366965947427598
2020-04-11,3.592476732163339,-0.45867138860185774,1,68,1.3815698609466485
2020-04-12,4.038737610943314,-1.3588503097032032,1,96,1.36540588406759
2020-04-13,3.726680552004833,0.021744032207956766,1,120,1.335770947399526
2020-04-14,4.104661990032373,0.0824900426599976,1,200,1.3817310778467091
2020-04-15,3.728239204358011,0.4338209983628985,1,203,1.4011719156435007
2020-04-16,3.685540559399385,0.4604252793972136,1,202,1.4046371846290435
2020-04-17,3.668257821772988,0.18826744039311144,1,211,1.426749680015058
2020-04-18,3.5390094629422744,-0.7769072911783123,1,202,1.3970933081577577
2020-04-19,4.013865490025313,-1.2008194218870278,1,116,1.4116802211275783
2020-04-20,3.4857345765652137,0.4277727629859928,1,107,1.393225752781312
2020-04-21,6.400183813235349,1.406655822743499,1,174,1.3872998766260765
2020-04-22,3.353120644640123,0.36039697754353467,1,169,1.3847463544125709
2020-04-23,3.6876843983680194,0.5116869783659537,1,408,1.435375429666614
2020-04-24,3.470431825593002,0.1265117652364336,1,373,1.4523590613920112
2020-04-25,3.232422838897963,-0.6584625013814847,1,352,1.4795607977271548
2020-04-26,3.756712995248859,-1.1009476309676842,1,227,1.4785104111827452
2020-04-27,3.496176503114544,-0.05927262632281663,1,305,1.4442941164154932
2020-04-28,3.021106817278564,0.030404112118469336,1,488,1.394078925427669
2020-04-29,3.1993224687730057,0.4029257209962099,1,443,1.3657549163694434
2020-04-30,2.088454876977163,0.5635416569626056,1,443,1.3437064308277555
2020-05-01,6.361351278555301,1.5224928537851006,1,459,1.3214754627188416
2020-05-02,3.0886459801936756,-0.5270627899323234,1,371,1.3345232691526572
2020-05-03,3.6114115227564727,-1.2649756506111478,1,267,1.3148697985563074
2020-05-04,2.771815461480204,-0.12750456299821292,1,304,1.330104995418303
2020-05-05,2.87019133086984,0.09647762588404736,1,591,1.3422148590918206
2020-05-06,2.746527777067688,0.2684467598303318,1,625,1.363181287812521
2020-05-07,2.4963382827105542,0.30532849766452785,1,676,1.3538690570217005
2020-05-08,2.1080074822453763,0.1774700231417302,1,754,1.3510058939631624
2020-05-09,1.6839194062039475,-0.7781526508134194,1,670,1.3392127318752454
2020-05-10,2.0938504762492087,-1.986025081869444,1,478,1.323619762479576
2020-05-11,2.811222502778738,-0.031688839984153686,1,485,1.3136518071195131
2020-05-12,3.043320600059257,-0.009890333204960824,1,843,1.3020355206432943
2020-05-13,3.1662933822789783,0.2019891671351638,1,778,1.2876535459937537
2020-05-14,3.0508674296220617,0.15424869949252906,0,789,1.2693369319533692
2020-05-15,3.109433980233106,-0.04308956270916566,0,913,1.2609713350543268
2020-05-16,2.8430798582971892,-0.8521833401233168,0,719,1.251231066433105
2020-05-17,3.346114715860985,-1.364815879077554,0,500,1.260379586767231
2020-05-18,2.9135670939981497,-0.1224191903422994,0,723,1.2599553266929335
2020-05-19,3.017349272342775,-0.021294418946875678,0,1149,1.2466449774069646
2020-05-20,2.920267182270328,0.35690720972105433,0,985,1.2348198250320472
2020-05-21,2.9231300605799815,0.3442291993537316,0,1069,1.1964642703975774
2020-05-22,2.9380683825548606,-0.11883458754556984,0,1031,1.1881264193014915
2020-05-23,2.9438624788026018,-1.1192559054208182,0,1046,1.1660679001223022
2020-05-24,3.6769759782670683,-1.6768645433788174,0,658,1.1447163925997896
2020-05-25,3.5208732301051127,0.1088510079228697,0,727,1.1399881767725248
2020-05-26,2.8629988534515824,-0.12172058754207848,0,1054,1.1298787399616512
2020-05-27,2.5870675083769035,0.1849453310614765,0,1061,1.1347584448184225
2020-05-28,2.437631009294621,0.22278993161666472,0,1190,1.1424047821072916
2020-05-29,2.103709469256181,0.03076797308304098,0,1137,1.136048281492761
2020-05-30,1.6655618902067288,-1.012538648029607,0,864,1.111850323312184
2020-05-31,2.4670094344652425,-1.5752925681479288,0,471,1.0519468205588487
2020-06-01,2.0551964544848405,-0.32152920835775484,0,741,1.0129058816873333
2020-06-02,2.381890612624795,-0.19614488576942998,0,1365,0.9891163810995368
